timestamp;from;to;memo
2021-11-03T17:19:34.500;ombombadi11o;twakefield14;for having the best last name in our Samarafield
2021-11-03T17:19:25.500;ombombadi11o;romboxen1234;the gentleman
2021-11-03T17:19:15.500;ombombadi11o;freeminister;for truly being delicious
2021-11-03T17:19:02.000;ombombadi11o;nalunation21;just because
2021-11-03T17:18:47.000;ombombadi11o;aliciaved111;for staying home
2021-11-03T17:18:37.500;ombombadi11o;inhabit4love;DJ²
2021-11-03T17:18:27.000;ombombadi11o;saintpatrick;for being
2021-11-03T17:18:16.500;ombombadi11o;raviresck123;I have to thank you twice
2021-11-03T17:18:07.000;ombombadi11o;raviresck123;what to say
2021-11-03T17:17:54.500;ombombadi11o;markflowfarm;for being mark
2021-11-03T17:17:40.000;ombombadi11o;juliomonteir;without you no one here would share their gratitude so beautifully
2021-11-03T17:17:28.000;ombombadi11o;marcwinnseed;because you are just amazing.
2021-11-03T17:17:17.500;ombombadi11o;minosdoros55;You are a fairy queen in the dark forest of SEEDS
2021-11-03T17:17:03.000;ombombadi11o;anahealingwo;for giving your all
2021-11-03T17:16:51.000;ombombadi11o;apostolseeds;for being awesome and reminding me to give thanks!
2021-11-03T17:12:48.500;geschichten1;gradinagruiu;for always, always be there
2021-11-03T17:07:30.500;gradinagruiu;illumination;boldness
2021-11-03T17:05:04.500;gradinagruiu;markflowfarm;being supermark!
2021-11-03T17:04:17.000;gradinagruiu;anahealingwo;reminding us that popcorn can change the mood instantly
2021-11-03T13:06:57.500;cambiamento4;illumination;for the fast fixing of troubles with the wallet.
2021-11-03T13:05:14.500;telmagomes11;astoryteller;for encouraging, holding space and deeply supporting the Transformers Translators Guild
2021-11-03T12:21:57.000;apostolseeds;dayagardunha;the cat that is sitting on the redwood branch and watching what happens!
2021-11-03T12:21:48.000;apostolseeds;acascalheira;for collaborating with me on the SEEDS software!
2021-11-03T12:21:37.000;apostolseeds;thealchemist;for doing the exploration group on governance!
2021-11-03T12:21:27.500;apostolseeds;f4b1vuk1seed;for doing the exploration group on Governance!
2021-11-03T12:21:13.000;apostolseeds;anahealingwo;for doing the exploration group on Governance!
2021-11-03T12:21:04.500;apostolseeds;anahealingwo;for doing the exploration group on Governance!
2021-11-03T12:20:53.000;apostolseeds;minosdoros55;for doing this exploration group on governance!
2021-11-03T12:20:40.500;apostolseeds;gradinagruiu;for the awesome sorinating you're doing all the time!
2021-11-03T12:20:30.500;apostolseeds;rainskyarel5;for your great presence in MOM!
